,Unit Id,School,Applicatin_Status,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
3805,218964,Winthrop University,Number of applicants,5190,4573,4940,4876,4546,4285,4316,4115,4511,4065,3996,5328,4304,3617,3965,3600,3207
3806,218964,Winthrop University,Number admitted,3492,3356,3384,3272,3236,3096,3051,2815,2946,2872,2781,3704,2985,2452,2632,2578,2389
3807,218964,Winthrop University,Number admitted who enrolled,991,1050,1072,1090,1019,1096,1143,983,1060,1060,1183,1183,1017,1001,1074,1086,946
3808,218964,Winthrop University,Percent of applicants admitted,67.3%,73.4%,68.5%,67.1%,71.2%,72.3%,70.7%,68.4%,65.3%,70.7%,69.6%,69.5%,69.4%,67.8%,66.4%,71.6%,74.5%
3809,218964,Winthrop University,Percent of admitted who enrolled,28.4%,31.3%,31.7%,33.3%,31.5%,35.4%,37.5%,34.9%,36.0%,36.9%,42.5%,31.9%,34.1%,40.8%,40.8%,42.1%,39.6%
3846,219356,South Dakota State University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
3847,219356,South Dakota State University,Number of applicants,5390,5551,5173,5060,5133,4851,4725,4673,4604,4191,3961,3738,3597,3641,3973,3748,3342
3848,219356,South Dakota State University,Number admitted,4982,5072,4695,4640,4723,4458,4331,4313,4205,3917,3688,3519,3378,3376,3665,3504,3143
3849,219356,South Dakota State University,Number admitted who enrolled,2180,2272,2273,2222,2283,2306,2223,2241,2247,2135,2101,2022,1947,1869,2096,2087,1848
3850,219356,South Dakota State University,Percent of applicants admitted,92.4%,91.4%,90.8%,91.7%,92.0%,91.9%,91.7%,92.3%,91.3%,93.5%,93.1%,94.1%,93.9%,92.7%,92.2%,93.5%,94.0%
3851,219356,South Dakota State University,Percent of admitted who enrolled,43.8%,44.8%,48.4%,47.9%,48.3%,51.7%,51.3%,52.0%,53.4%,54.5%,57.0%,57.5%,57.6%,55.4%,57.2%,59.6%,58.8%
3858,219471,University of South Dakota,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,,
3859,219471,University of South Dakota,Number of applicants,4119,3865,3607,4218,3542,3606,3443,3287,3452,3122,3345,3517,3043,2795,3396,-,0
3860,219471,University of South Dakota,Number admitted,3534,3359,3179,3102,3146,3169,3049,2923,2927,2717,2778,2805,2619,2405,2192,-,0
3861,219471,University of South Dakota,Number admitted who enrolled,1444,1341,1140,1287,1247,1342,1353,1252,1175,1125,1168,1184,1128,1165,1057,-,0
3862,219471,University of South Dakota,Percent of applicants admitted,85.8%,86.9%,88.1%,73.5%,88.8%,87.9%,88.6%,88.9%,84.8%,87.0%,83.0%,79.8%,86.1%,86.0%,64.5%,-,0
3863,219471,University of South Dakota,Percent of admitted who enrolled,40.9%,39.9%,35.9%,41.5%,39.6%,42.3%,44.4%,42.8%,40.1%,41.4%,42.0%,42.2%,43.1%,48.4%,48.2%,-,0
3864,219602,Austin Peay State University,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2002
3865,219602,Austin Peay State University,Number of applicants,7722,7185,6220,3595,3307,3332,3342,3464,3111,2865,2575,2514,2608,2679,2166,2336,2336
3866,219602,Austin Peay State University,Number admitted,7242,6476,5527,3153,2952,2864,2790,3034,2802,2520,2340,1478,2367,2456,2027,1249,1249
3867,219602,Austin Peay State University,Number admitted who enrolled,2009,1983,1963,1554,1494,1522,1551,1718,1647,1471,1356,1403,1408,1606,1191,1100,1100
3868,219602,Austin Peay State University,Percent of applicants admitted,93.8%,90.1%,88.9%,87.7%,89.3%,86.0%,83.5%,87.6%,90.1%,88.0%,90.9%,58.8%,90.8%,91.7%,93.6%,53.5%,53.5%
3869,219602,Austin Peay State University,Percent of admitted who enrolled,27.7%,30.6%,35.5%,49.3%,50.6%,53.1%,55.6%,56.6%,58.8%,58.4%,57.9%,94.9%,59.5%,65.4%,58.8%,88.1%,88.1%
3876,220075,East Tennessee State University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
3877,220075,East Tennessee State University,Number of applicants,8009,8169,6832,8253,5252,4721,5124,5269,5245,4721,4594,2824,3963,3601,3391,3825,3532
3878,220075,East Tennessee State University,Number admitted,6978,6982,6261,6538,4818,4083,4572,4482,4295,4024,4136,2554,3607,2925,2826,3132,2919
3879,220075,East Tennessee State University,Number admitted who enrolled,1976,2050,1886,1999,2055,1881,2082,2140,2099,2065,1952,1939,1740,1595,1510,1615,1514
3880,220075,East Tennessee State University,Percent of applicants admitted,87.1%,85.5%,91.6%,79.2%,91.7%,86.5%,89.2%,85.1%,81.9%,85.2%,90.0%,90.4%,91.0%,81.2%,83.3%,81.9%,82.6%
3881,220075,East Tennessee State University,Percent of admitted who enrolled,28.3%,29.4%,30.1%,30.6%,42.7%,46.1%,45.5%,47.7%,48.9%,51.3%,47.2%,75.9%,48.2%,54.5%,53.4%,51.6%,51.9%
3888,220862,University of Memphis,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2007,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
3889,220862,University of Memphis,Number of applicants,14141,13741,21392,16672,11311,5990,6798,6713,6584,6156,6025,6025,5234,5131,5049,4514,4205
3890,220862,University of Memphis,Number admitted,11921,11655,12124,6632,5361,4098,4243,4452,4381,4120,3986,3986,3721,3665,3547,3998,3713
3891,220862,University of Memphis,Number admitted who enrolled,2480,2669,2743,2105,2365,2134,2252,2577,2432,2256,2017,2026,2093,2073,2062,2121,1869
3892,220862,University of Memphis,Percent of applicants admitted,84.3%,84.8%,56.7%,39.8%,47.4%,68.4%,62.4%,66.3%,66.5%,66.9%,66.2%,66.2%,71.1%,71.4%,70.3%,88.6%,88.3%
3893,220862,University of Memphis,Percent of admitted who enrolled,20.8%,22.9%,22.6%,31.7%,44.1%,52.1%,53.1%,57.9%,55.5%,54.8%,50.6%,50.8%,56.2%,56.6%,58.1%,53.1%,50.3%
3894,220978,Middle Tennessee State University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
3895,220978,Middle Tennessee State University,Number of applicants,8055,9938,8538,8164,9353,9845,9405,10814,10542,9431,9583,14182,15607,7683,7503,7205,7051
3896,220978,Middle Tennessee State University,Number admitted,7534,5898,5858,5927,6740,6888,6289,7600,7511,6616,6202,5559,5391,5430,5306,5398,5509
3897,220978,Middle Tennessee State University,Number admitted who enrolled,2897,3016,2893,2839,3095,3179,3120,3439,3777,3596,3456,3576,3373,3208,3143,3036,3136
3898,220978,Middle Tennessee State University,Percent of applicants admitted,93.5%,59.3%,68.6%,72.6%,72.1%,70.0%,66.9%,70.3%,71.2%,70.2%,64.7%,39.2%,34.5%,70.7%,70.7%,74.9%,78.1%
3899,220978,Middle Tennessee State University,Percent of admitted who enrolled,38.5%,51.1%,49.4%,47.9%,45.9%,46.2%,49.6%,45.3%,50.3%,54.4%,55.7%,64.3%,62.6%,59.1%,59.2%,56.2%,56.9%
3918,221838,Tennessee State University,Reporting period,,,,,,,,,,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
3919,221838,Tennessee State University,Number of applicants,-,-,-,-,-,-,-,-,-,4808,3227,4119,14167,6950,6694,7823,7638
3920,221838,Tennessee State University,Number admitted,-,-,-,-,-,-,-,-,-,3142,1498,2644,11911,2962,3425,3554,2668
3921,221838,Tennessee State University,Number admitted who enrolled,-,-,-,-,-,-,-,-,-,1338,1040,1228,9038,1205,1252,1214,1304
3922,221838,Tennessee State University,Percent of applicants admitted,-,-,-,-,-,-,-,-,-,65.3%,46.4%,64.2%,84.1%,42.6%,51.2%,45.4%,34.9%
3923,221838,Tennessee State University,Percent of admitted who enrolled,-,-,-,-,-,-,-,-,-,42.6%,69.4%,46.4%,75.9%,40.7%,36.6%,34.2%,48.9%
3924,221847,Tennessee Technological University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
3925,221847,Tennessee Technological University,Number of applicants,6913,7143,5940,5786,4582,4973,4844,4447,4553,4486,3499,3790,2937,3292,3169,3182,3294
3926,221847,Tennessee Technological University,Number admitted,5237,4600,3992,3953,4326,4633,4515,4318,4277,3786,3185,3329,2707,2475,2458,2570,2615
3927,221847,Tennessee Technological University,Number admitted who enrolled,1890,1761,1608,1589,1879,2176,2058,1968,1909,1893,1677,1661,1527,1423,1485,1388,1398
3928,221847,Tennessee Technological University,Percent of applicants admitted,75.8%,64.4%,67.2%,68.3%,94.4%,93.2%,93.2%,97.1%,93.9%,84.4%,91.0%,87.8%,92.2%,75.2%,77.6%,80.8%,79.4%
3929,221847,Tennessee Technological University,Percent of admitted who enrolled,36.1%,38.3%,40.3%,40.2%,43.4%,47.0%,45.6%,45.6%,44.6%,50.0%,52.7%,49.9%,56.4%,57.5%,60.4%,54.0%,53.5%
3960,224147,Texas A & M University-Corpus Christi,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2010,Fall 2010,,,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
3961,224147,Texas A & M University-Corpus Christi,Number of applicants,9053,12464,12909,8909,7970,7091,6501,5094,5094,-,-,4078,4093,3273,2841,3114,2881
3962,224147,Texas A & M University-Corpus Christi,Number admitted,7875,7536,8346,7463,6744,6565,5831,4312,4313,-,-,3523,3464,2792,2379,2643,2552
3963,224147,Texas A & M University-Corpus Christi,Number admitted who enrolled,2050,2262,2406,2342,2011,2051,1713,1406,1406,-,-,1160,1256,1174,1170,980,1055
3964,224147,Texas A & M University-Corpus Christi,Percent of applicants admitted,87.0%,60.5%,64.7%,83.8%,84.6%,92.6%,89.7%,84.6%,84.7%,-,-,86.4%,84.6%,85.3%,83.7%,84.9%,88.6%
3965,224147,Texas A & M University-Corpus Christi,Percent of admitted who enrolled,26.0%,30.0%,28.8%,31.4%,29.8%,31.2%,29.4%,32.6%,32.6%,-,-,32.9%,36.3%,42.0%,49.2%,37.1%,41.3%
4026,225511,University of Houston,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
4027,225511,University of Houston,Number of applicants,22461,20768,19860,17971,17328,17407,17019,14320,12799,11393,11694,9755,9935,9292,8526,8177,7996
4028,225511,University of Houston,Number admitted,14002,12691,11627,10732,10915,10167,9565,9053,9026,7941,9182,7490,7403,7485,6872,6380,6511
4029,225511,University of Houston,Number admitted who enrolled,5198,4959,4463,4187,4048,3434,3492,3718,3637,3295,3799,3386,3439,3447,3374,3323,3457
4030,225511,University of Houston,Percent of applicants admitted,62.3%,61.1%,58.5%,59.7%,63.0%,58.4%,56.2%,63.2%,70.5%,69.7%,78.5%,76.8%,74.5%,80.6%,80.6%,78.0%,81.4%
4031,225511,University of Houston,Percent of admitted who enrolled,37.1%,39.1%,38.4%,39.0%,37.1%,33.8%,36.5%,41.1%,40.3%,41.5%,41.4%,45.2%,46.5%,46.1%,49.1%,52.1%,53.1%
4032,226091,Lamar University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,,Fall 2004,Fall 2003,Fall 2002
4033,226091,Lamar University,Number of applicants,5486,5445,5613,4529,4572,4788,4921,5860,6126,5359,5790,2749,4931,-,4519,4185,3630
4034,226091,Lamar University,Number admitted,4626,4446,4276,3583,3603,3678,4348,2669,2873,4518,3587,2460,3123,-,3255,2845,2606
4035,226091,Lamar University,Number admitted who enrolled,1483,1447,1467,1542,1403,1451,1721,1402,1454,1485,1460,1493,1495,-,1649,1414,1312
4036,226091,Lamar University,Percent of applicants admitted,84.3%,81.7%,76.2%,79.1%,78.8%,76.8%,88.4%,45.5%,46.9%,84.3%,62.0%,89.5%,63.3%,-,72.0%,68.0%,71.8%
4037,226091,Lamar University,Percent of admitted who enrolled,32.1%,32.5%,34.3%,43.0%,38.9%,39.5%,39.6%,52.5%,50.6%,32.9%,40.7%,60.7%,47.9%,-,50.7%,49.7%,50.3%
4068,227216,University of North Texas,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
4069,227216,University of North Texas,Number of applicants,20006,18650,16826,16253,16842,18299,17140,14848,14188,12883,13150,12387,12367,11282,10068,9979,8821
4070,227216,University of North Texas,Number admitted,14215,13504,12080,11401,11012,10922,11003,9649,9124,8219,8411,8099,8117,7834,7261,7047,6101
4071,227216,University of North Texas,Number admitted who enrolled,4879,4992,4859,4722,4450,4617,4689,4220,3856,3552,3753,3726,3882,3625,3345,3621,3188
4072,227216,University of North Texas,Percent of applicants admitted,71.1%,72.4%,71.8%,70.1%,65.4%,59.7%,64.2%,65.0%,64.3%,63.8%,64.0%,65.4%,65.6%,69.4%,72.1%,70.6%,69.2%
4073,227216,University of North Texas,Percent of admitted who enrolled,34.3%,37.0%,40.2%,41.4%,40.4%,42.3%,42.6%,43.7%,42.3%,43.2%,44.6%,46.0%,47.8%,46.3%,46.1%,51.4%,52.3%
4074,227368,The University of Texas Rio Grande Valley,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2006,Fall 2005,,,
4075,227368,The University of Texas Rio Grande Valley,Number of applicants,11191,10540,9998,9055,10679,9313,8778,7470,6531,5566,6884,7130,7335,7881,-,-,0
4076,227368,The University of Texas Rio Grande Valley,Number admitted,9069,8483,6392,7447,6706,5790,6004,5197,4433,4760,4266,4853,4770,4763,-,-,0
4077,227368,The University of Texas Rio Grande Valley,Number admitted who enrolled,4565,4504,3944,4202,3483,3102,3146,2925,2882,2663,2626,2807,2807,2435,-,-,0
4078,227368,The University of Texas Rio Grande Valley,Percent of applicants admitted,81.0%,80.5%,63.9%,82.2%,62.8%,62.2%,68.4%,69.6%,67.9%,85.5%,62.0%,68.1%,65.0%,60.4%,-,-,0
4079,227368,The University of Texas Rio Grande Valley,Percent of admitted who enrolled,50.3%,53.1%,61.7%,56.4%,51.9%,53.6%,52.4%,56.3%,65.0%,55.9%,61.6%,57.8%,58.8%,51.1%,-,-,0
4080,227526,Prairie View A & M University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2003,Fall 2002
4081,227526,Prairie View A & M University,Number of applicants,7158,6422,5660,5067,9850,10747,10354,9374,7931,7475,5899,4496,1877,2803,4874,2767,2658
4082,227526,Prairie View A & M University,Number admitted,5321,5069,4838,4355,3854,4548,4057,3721,3297,3052,2385,2329,1645,2747,2953,2710,2598
4083,227526,Prairie View A & M University,Number admitted who enrolled,2177,2055,1896,1627,1452,1464,1632,1786,1728,1640,1322,1231,1101,1478,1469,1676,2598
4084,227526,Prairie View A & M University,Percent of applicants admitted,74.3%,78.9%,85.5%,85.9%,39.1%,42.3%,39.2%,39.7%,41.6%,40.8%,40.4%,51.8%,87.6%,98.0%,60.6%,97.9%,97.7%
4085,227526,Prairie View A & M University,Percent of admitted who enrolled,40.9%,40.5%,39.2%,37.4%,37.7%,32.2%,40.2%,48.0%,52.4%,53.7%,55.4%,52.9%,66.9%,53.8%,49.7%,61.8%,100.0%
4086,227881,Sam Houston State University,Reporting period,,,,,,Fall 2012,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
4087,227881,Sam Houston State University,Number of applicants,11819,12383,12556,9242,9175,9315,9315,10231,11464,14909,9256,7606,7804,6307,5598,5182,5777
4088,227881,Sam Houston State University,Number admitted,9283,9212,9034,6720,6759,6054,6054,8854,5418,8531,4926,4693,4854,4718,4408,3915,4028
4089,227881,Sam Houston State University,Number admitted who enrolled,2883,2873,2758,2637,2542,2413,2413,2069,2259,2170,2143,2208,2224,2216,2144,1832,1673
4090,227881,Sam Houston State University,Percent of applicants admitted,78.5%,74.4%,71.9%,72.7%,73.7%,65.0%,65.0%,86.5%,47.3%,57.2%,53.2%,61.7%,62.2%,74.8%,78.7%,75.5%,69.7%
4091,227881,Sam Houston State University,Percent of admitted who enrolled,31.1%,31.2%,30.5%,39.2%,37.6%,39.9%,39.9%,23.4%,41.7%,25.4%,43.5%,47.0%,45.8%,47.0%,48.6%,46.8%,41.5%
4092,228431,Stephen F Austin State University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
4093,228431,Stephen F Austin State University,Number of applicants,10862,11081,11382,11382,10631,11383,11402,10975,12704,8960,7810,7311,7665,6506,5873,5750,5836
4094,228431,Stephen F Austin State University,Number admitted,7348,7250,7108,7008,6220,6474,6361,6883,6300,6511,5657,5319,5460,4823,4380,4198,4464
4095,228431,Stephen F Austin State University,Number admitted who enrolled,2215,2340,2371,2282,2216,2253,2372,2538,2375,2396,2354,2182,2246,1936,1684,1754,2043
4096,228431,Stephen F Austin State University,Percent of applicants admitted,67.6%,65.4%,62.4%,61.6%,58.5%,56.9%,55.8%,62.7%,49.6%,72.7%,72.4%,72.8%,71.2%,74.1%,74.6%,73.0%,76.5%
4097,228431,Stephen F Austin State University,Percent of admitted who enrolled,30.1%,32.3%,33.4%,32.6%,35.6%,34.8%,37.3%,36.9%,37.7%,36.8%,41.6%,41.0%,41.1%,40.1%,38.4%,41.8%,45.8%
4098,228459,Texas State University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
4099,228459,Texas State University,Number of applicants,24923,24277,22701,20711,18413,18939,10418,14878,13311,12172,11422,10869,10062,9284,11226,11483,10269
4100,228459,Texas State University,Number admitted,11351,17717,16147,14672,13423,14219,6889,11530,10054,9211,8494,7710,7318,7095,6479,6435,5800
4101,228459,Texas State University,Number admitted who enrolled,6159,5874,5793,5784,5558,5181,4251,4655,4108,3667,3338,3072,3031,3076,2804,2876,2703
4102,228459,Texas State University,Percent of applicants admitted,45.5%,73.0%,71.1%,70.8%,72.9%,75.1%,66.1%,77.5%,75.5%,75.7%,74.4%,70.9%,72.7%,76.4%,57.7%,56.0%,56.5%
4103,228459,Texas State University,Percent of admitted who enrolled,54.3%,33.2%,35.9%,39.4%,41.4%,36.4%,61.7%,40.4%,40.9%,39.8%,39.3%,39.8%,41.4%,43.4%,43.3%,44.7%,46.6%
4146,228769,The University of Texas at Arlington,Reporting period,,,,,,Fall 2013,Fall 2011,Fall 2011,Fall 2009,Fall 2008,Fall 2007,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2001
4147,228769,The University of Texas at Arlington,Number of applicants,12335,12333,12558,10777,10245,10679,9550,9550,7119,5533,8179,8179,6482,5479,5469,5103,4376
4148,228769,The University of Texas at Arlington,Number admitted,9809,8784,8768,7152,6290,6405,6593,6593,5312,4215,4555,4555,4465,4334,3940,3939,3724
4149,228769,The University of Texas at Arlington,Number admitted who enrolled,3572,3375,3053,2816,2714,2713,2576,2576,2629,2300,2244,2244,2112,1853,1840,1996,1790
4150,228769,The University of Texas at Arlington,Percent of applicants admitted,79.5%,71.2%,69.8%,66.4%,61.4%,60.0%,69.0%,69.0%,74.6%,76.2%,55.7%,55.7%,68.9%,79.1%,72.0%,77.2%,85.1%
4151,228769,The University of Texas at Arlington,Percent of admitted who enrolled,36.4%,38.4%,34.8%,39.4%,43.1%,42.4%,39.1%,39.1%,49.5%,54.6%,49.3%,49.3%,47.3%,42.8%,46.7%,50.7%,48.1%
4152,228778,The University of Texas at Austin,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
4153,228778,The University of Texas at Austin,Number of applicants,50575,51033,47511,42392,38785,38161,35431,32589,31022,31362,29501,27237,27315,23925,23008,24519,22178
4154,228778,The University of Texas at Austin,Number admitted,19482,18620,19182,16633,15381,15335,16563,15172,14583,14213,12843,13800,13307,12207,11788,11504,13473
4155,228778,The University of Texas at Austin,Number admitted who enrolled,8960,8381,8719,7743,7285,7249,8092,7149,7275,7243,6718,7478,7417,6836,6791,6544,7935
4156,228778,The University of Texas at Austin,Percent of applicants admitted,38.5%,36.5%,40.4%,39.2%,39.7%,40.2%,46.7%,46.6%,47.0%,45.3%,43.5%,50.7%,48.7%,51.0%,51.2%,46.9%,60.7%
4157,228778,The University of Texas at Austin,Percent of admitted who enrolled,46.0%,45.0%,45.5%,46.6%,47.4%,47.3%,48.9%,47.1%,49.9%,51.0%,52.3%,54.2%,55.7%,56.0%,57.6%,56.9%,58.9%
4164,228796,The University of Texas at El Paso,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,,,,,
4165,228796,The University of Texas at El Paso,Number of applicants,10456,9382,7134,7134,7157,6240,5697,5229,5809,5548,5147,8335,-,-,-,-,0
4166,228796,The University of Texas at El Paso,Number admitted,10455,9382,7133,7133,7149,6228,5687,5187,5742,5492,5098,8061,-,-,-,-,0
4167,228796,The University of Texas at El Paso,Number admitted who enrolled,3422,3583,3340,3340,3254,3033,2924,2711,2516,2555,2309,2679,-,-,-,-,0
4168,228796,The University of Texas at El Paso,Percent of applicants admitted,100.0%,100.0%,100.0%,100.0%,99.9%,99.8%,99.8%,99.2%,98.8%,99.0%,99.0%,96.7%,-,-,-,-,0
4169,228796,The University of Texas at El Paso,Percent of admitted who enrolled,32.7%,38.2%,46.8%,46.8%,45.5%,48.7%,51.4%,52.3%,43.8%,46.5%,45.3%,33.2%,-,-,-,-,0
4188,229027,The University of Texas at San Antonio,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2004,Fall 2003,Fall 2002
4189,229027,The University of Texas at San Antonio,Number of applicants,16918,15973,15500,15706,14933,15239,14650,12882,11993,12442,10929,11145,9144,10331,10331,7184,6934
4190,229027,The University of Texas at San Antonio,Number admitted,13370,12692,11843,12243,11336,11165,11450,10724,10426,10949,10163,10122,9087,10260,10260,7145,6444
4191,229027,The University of Texas at San Antonio,Number admitted who enrolled,4969,5030,4378,4975,5057,4493,4974,5097,4883,4858,4928,4781,4452,4421,4578,3302,2566
4192,229027,The University of Texas at San Antonio,Percent of applicants admitted,79.0%,79.5%,76.4%,78.0%,75.9%,73.3%,78.2%,83.2%,86.9%,88.0%,93.0%,90.8%,99.4%,99.3%,99.3%,99.5%,92.9%
4193,229027,The University of Texas at San Antonio,Percent of admitted who enrolled,37.2%,39.6%,37.0%,40.6%,44.6%,40.2%,43.4%,47.5%,46.8%,44.4%,48.5%,47.2%,49.0%,43.1%,44.6%,46.2%,39.8%
4194,229063,Texas Southern University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2008,Fall 2008,,,,,,
4195,229063,Texas Southern University,Number of applicants,13776,12995,10878,10487,10111,9746,9393,8661,8780,6110,6110,-,-,-,-,-,0
4196,229063,Texas Southern University,Number admitted,7802,8663,5601,5338,5250,4389,4991,3358,3192,6023,6023,-,-,-,-,-,0
4197,229063,Texas Southern University,Number admitted who enrolled,1607,1975,1260,1457,1533,1110,1354,1187,1191,1349,1349,-,-,-,-,-,0
4198,229063,Texas Southern University,Percent of applicants admitted,56.6%,66.7%,51.5%,50.9%,51.9%,45.0%,53.1%,38.8%,36.4%,98.6%,98.6%,-,-,-,-,-,0
4199,229063,Texas Southern University,Percent of admitted who enrolled,20.6%,22.8%,22.5%,27.3%,29.2%,25.3%,27.1%,35.3%,37.3%,22.4%,22.4%,-,-,-,-,-,0
4200,229115,Texas Tech University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
4201,229115,Texas Tech University,Number of applicants,24452,25207,23311,23010,21873,19170,18027,17569,16349,16551,16143,11961,13809,12583,13323,13755,13101
4202,229115,Texas Tech University,Number admitted,17280,17438,14592,14510,14464,12709,11593,11645,11720,11228,11643,10759,9691,8927,8939,9257,9039
4203,229115,Texas Tech University,Number admitted who enrolled,6171,5883,4762,5160,5619,4785,4560,4464,4858,4585,4385,4496,3918,3779,3950,4445,4531
4204,229115,Texas Tech University,Percent of applicants admitted,70.7%,69.2%,62.6%,63.1%,66.1%,66.3%,64.3%,66.3%,71.7%,67.8%,72.1%,90.0%,70.2%,70.9%,67.1%,67.3%,69.0%
4205,229115,Texas Tech University,Percent of admitted who enrolled,35.7%,33.7%,32.6%,35.6%,38.8%,37.7%,39.3%,38.3%,41.5%,40.8%,37.7%,41.8%,40.4%,42.3%,44.2%,48.0%,50.1%
4260,230603,Southern Utah University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
4261,230603,Southern Utah University,Number of applicants,12435,11693,10573,8387,8268,8318,6375,4218,3276,3282,2774,3134,2479,1734,1356,1399,1998
4262,230603,Southern Utah University,Number admitted,9846,8863,7642,6050,5046,4749,3655,3224,2662,2359,2336,2501,1996,1573,1054,1138,1679
4263,230603,Southern Utah University,Number admitted who enrolled,2073,1895,1523,1427,1195,1272,1264,1364,1316,1244,1214,1269,1083,976,727,740,1098
4264,230603,Southern Utah University,Percent of applicants admitted,79.2%,75.8%,72.3%,72.1%,61.0%,57.1%,57.3%,76.4%,81.3%,71.9%,84.2%,79.8%,80.5%,90.7%,77.7%,81.3%,84.0%
4265,230603,Southern Utah University,Percent of admitted who enrolled,21.1%,21.4%,19.9%,23.6%,23.7%,26.8%,34.6%,42.3%,49.4%,52.7%,52.0%,50.7%,54.3%,62.0%,69.0%,65.0%,65.4%
4266,230728,Utah State University,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2004,Fall 2003,Fall 2002
4267,230728,Utah State University,Number of applicants,15099,15555,15401,16158,12835,9052,8657,7561,6438,5951,6045,5209,4666,4906,4906,5165,5689
4268,230728,Utah State University,Number admitted,13446,13857,13899,15620,12557,8757,8414,7359,6289,5799,5907,5029,4365,4491,4491,4851,5035
4269,230728,Utah State University,Number admitted who enrolled,4429,4242,4466,4751,4071,3824,3936,3460,2839,2762,2842,2562,2054,2183,2183,2548,2663
4270,230728,Utah State University,Percent of applicants admitted,89.1%,89.1%,90.2%,96.7%,97.8%,96.7%,97.2%,97.3%,97.7%,97.4%,97.7%,96.5%,93.5%,91.5%,91.5%,93.9%,88.5%
